Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
Plot/Land for Sale in Bannerghatta Road Bangalore,₹4.08 Cr,,6+,₹1889 per sqft,Plot Area,21600 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,,,,
"Plot/Land for Sale in Jigani, Bannerghatta Road",₹39.5 Lac,,N/A,₹2633 per sqft,Plot Area,1500 sqft,,,floors allowed for construction,Congo,Transaction,Resale,,,,,,,,,,,,
"Plot/Land for Sale in Jigani, Bannerghatta Road",₹84 Lac,,1,₹3500 per sqft,Plot Area,2400 sqft,,,floors allowed for construction,3,Transaction,Resale,,,,,,,,,,,,
"3 BHK Apartment for Sale in Gottigere, Bannerghatta Road",₹1 Cr,SMR Vinay Meenakshi,N/A,₹7143 per sqft,Carpet Area,1380 sqft,Status,Ready to Move,Floor,7 out of 7,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,2,Balcony,2
"Plot/Land for Sale in Jigani, Bannerghatta Road",₹30 Lac,,5+,₹2000 per sqft,Plot Area,1500 sqft,,,floors allowed for construction,2,Transaction,New Property,,,,,,,,,,,,
"3 BHK Apartment for Sale in Stage 4th BTM Layout, Bannerghatta Road",₹72 Lac,Arvind Nethravati Apartment,8+,₹5096 per sqft,Super Area,1413 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,2
Plot/Land for Sale in Bannerghatta Road Bangalore,₹19.2 Lac,,N/A,₹356 per sqft,Plot Area,5400 sqft,,,,,Transaction,Resale,,,overlooking,Garden/Park,Ownership,Freehold,,,,,,
"3 BHK Villa for Sale in Jigani, Bannerghatta Road",₹1 Cr,CK Adiithya,8+,₹6061 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in BTM Layout, Bannerghatta Road",₹1 Cr,,N/A,₹8834 per sqft,Super Area,1132 sqft,Status,Ready to Move,Floor,7 out of 10,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,,
"Plot/Land for Sale in Jigani, Bannerghatta Road",₹30 Lac,,4+,₹2000 per sqft,Plot Area,1500 sqft,,,floors allowed for construction,1,Transaction,New Property,,,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,,,,
"Plot/Land for Sale in Jigani Industrial Area, Bannerghatta Road",₹32.9 Lac,,4+,₹2742 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,3,Transaction,Resale,,,,,,,,,,,,
"3 BHK Apartment for Sale in BTM Layout, Bannerghatta Road",₹85 Lac,Kristal Sapphire,3+,₹6098 per sqft,Carpet Area,1110 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,1
"Plot/Land for Sale in Jigani, Bannerghatta Road",₹35 Lac,Nirman Residential Layout,5+,₹2917 per sqft,Plot Area,1200 sqft,,,,,Transaction,Resale,,,,,,,,,,,,
"4 BHK Apartment for Sale in 4th T Block East, Bannerghatta Road",₹12 Cr,Oakyard Apartment,6+,₹15789 per sqft,Super Area,7600 sqft,Status,Ready to Move,Floor,7 out of 7,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,5,Balcony,3
