Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"1 BHK Apartment for Sale in Haralur, Sarjapur Road",₹45 Lac,SJR Parkway Homes,20+,₹7031 per sqft,Super Area,640 sqft,Status,Ready to Move,Floor,1 out of 18,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,1,Balcony,1
"Plot/Land for Sale in Koramangala, Sarjapur Road",₹26.88 Cr,,6+,₹28000 per sqft,Plot Area,9600 sqft,,,floors allowed for construction,7,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
Plot/Land for Sale in Sarjapur Road Bangalore,₹48 Lac,Pavans Brundavan,5+,₹4000 per sqft,Plot Area,1200 sqft,,,,,Transaction,Resale,,,overlooking,Garden/Park,Ownership,Freehold,,,,,,
3 BHK Apartment for Sale in Sarjapur Road Bangalore,₹1.13 Cr,DSR Green Waters,6+,₹7483 per sqft,Super Area,1510 sqft,Under Construction,Poss. by Mar '25,Floor,7 out of 9,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,1
"Plot/Land for Sale in Dommasandra, Sarjapur Road",₹72 Lac,Morefields By Manyata,10+,₹6000 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,2,Transaction,New Property,,,overlooking,Garden/Park,Ownership,Freehold,,,,,,
2 BHK Apartment for Sale in Sarjapur Road Bangalore,₹2.23 Cr,Sobha Royal Pavilion,12+,₹15068 per sqft,Carpet Area,1065 sqft,Status,Ready to Move,Floor,Ground out of 18,Transaction,Resale,Furnishing,Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
1 BHK Apartment for Sale in Sarjapur Road Bangalore,₹56 Lac,Ahad Excellencia,9+,₹8589 per sqft,Carpet Area,600 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,1,Balcony,1
"3 BHK Villa for Sale in Haralur, Sarjapur Road",₹3.75 Cr,Ozone Residenza,12+,₹10714 per sqft,Super Area,3500 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,2
"2 BHK Apartment for Sale in Yemalur, Sarjapur Road",₹84 Lac,,13+,₹7029 per sqft,Carpet Area,900 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,1
"3 BHK Apartment for Sale in Sector 5 HSR Layout, Sarjapur Road",₹1.35 Cr,,18+,₹8438 per sqft,Carpet Area,1450 sqft,Status,Ready to Move,Floor,1 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
