Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"3 BHK Apartment for Sale in Electronics City Phase 1, Hosur Road",₹96.1 Lac,Ramky One Karnival,13+,₹7089 per sqft,Super Area,1355 sqft,Under Construction,Poss. by Mar '25,Floor,9 out of 14,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,3,Balcony,1
"8 BHK House for Sale in Electronic City, Hosur Road",₹3.10 Cr,,N/A,₹12884 per sqft,Super Area,2406 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,7,,
"3 BHK Villa for Sale in Chandapura, Hosur Road",₹1.23 Cr,Roja Soul Garden,39+,₹6544 per sqft,Super Area,1885 sqft,,,,,Transaction,New Property,Furnishing,Unfurnished,,,,,,,Bathroom,3,,
3 BHK Apartment for Sale in Hosur Road Bangalore,₹1.21 Cr,MJR Platina,19+,₹8259 per sqft,Super Area,1465 sqft,Status,Ready to Move,Floor,2 out of 9,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,2
"Plot/Land for Sale in Attibele, Hosur Road",₹4.75 Cr,,N/A,₹2500 per sqft,Plot Area,19000 sqft,,,floors allowed for construction,5,Transaction,Resale,,,,,,,,,,,,
"1 BHK Apartment for Sale in Electronic City, Hosur Road",₹24 Lac,Vasavi Rainbow,20+,₹4571 per sqft,Super Area,525 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,1,Balcony,1
"3 BHK Apartment for Sale in Sai Sree Layout, Hosur Road",₹1.24 Cr,Mahaveer Ranches,14+,₹8000 per sqft,Carpet Area,1172 sqft,Status,Ready to Move,Floor,5 out of 14,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,1
"1 BHK Apartment for Sale in Electronic City, Hosur Road",₹39 Lac,Patel Smondoville,3+,₹6142 per sqft,Carpet Area,635 sqft,Status,Ready to Move,Floor,9 out of 13,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Open,Bathroom,1,,
3 BHK Apartment for Sale in Hosur Road Bangalore,₹2.50 Cr,Salarpuria Sattva Greenage,33+,₹13514 per sqft,Carpet Area,1385 sqft,Status,Ready to Move,Floor,19 out of 22,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,3,Balcony,2
"4 BHK Apartment for Sale in Singasandra, Hosur Road",₹1.25 Cr,Sumadhuras Paramount Serene,20+,₹4638 per sqft,Carpet Area,1700 sqft,Status,Ready to Move,Floor,5 out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,,,Bathroom,4,Balcony,5
"Plot/Land for Sale in Chandapura, Hosur Road",₹43.2 Lac,,6+,₹3600 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,3,Transaction,New Property,,,overlooking,Main Road,Ownership,Freehold,,,,,,
