Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"10 BHK House for Sale in Kothnoor Dinne, JP Nagar",₹2.50 Cr,,6+,₹4717 per sqft,Carpet Area,4700 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,10,,
"3 BHK House for Sale in Phase 8th JP Nagar, JP Nagar",₹2.55 Cr,,20+,₹8279 per sqft,Carpet Area,2680 sqft,Status,Ready to Move,Floor,Ground out of 2,Transaction,Resale,Furnishing,Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Open,Bathroom,3,,
"2 BHK House for Sale in Phase 6 JP Nagar, JP Nagar",₹2.80 Cr,,9+,₹16000 per sqft,Carpet Area,1800 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,3 Covered,Bathroom,2,Balcony,1
6 BHK Villa for Sale in JP Nagar Bangalore,₹9.50 Cr,Puravankara Purva Coronation Square,9+,₹11875 per sqft,Carpet Area,7000 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Pool, Garden/Park",Ownership,Freehold,,,Bathroom,5,Balcony,4
"3 BHK Apartment for Sale in Dollars Colony JP Nagar, JP Nagar",₹2.48 Cr,Esteem Kings Court,16+,₹16533 per sqft,Super Area,1500 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Furnished,,,,,Car Parking,1 Covered,Bathroom,3,Balcony,2
"2 BHK Builder Floor for Sale in Phase 7 JP Nagar, JP Nagar",₹65 Lac,,1,₹7222 per sqft,Super Area,900 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,2,,
"2 BHK Builder Floor for Sale in Phase 2nd JP Nagar, JP Nagar",₹2.75 Cr,,11+,₹13750 per sqft,Carpet Area,1200 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"Plot/Land for Sale in Phase 6 JP Nagar, JP Nagar",₹1.44 Cr,,N/A,₹12000 per sqft,Plot Area,1200 sqft,,,floors allowed for construction,3,Transaction,Resale,,,,,,,,,,,,
"5 BHK House for Sale in Phase 7 JP Nagar, JP Nagar",₹1.30 Cr,,N/A,₹10833 per sqft,Carpet Area,900 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,5,Balcony,2
"3 BHK Apartment for Sale in Phase 8th JP Nagar, JP Nagar",₹1.65 Cr,,8+,₹7674 per sqft,Carpet Area,2150 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,1
"Plot/Land for Sale in Phase 7 JP Nagar, JP Nagar",₹1.80 Cr,,N/A,₹9288 per sqft,Plot Area,1938 sqft,,,,,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
"2 BHK Apartment for Sale in Yelachenahalli, JP Nagar",₹65 Lac,K R Woods Apartment,7+,₹5856 per sqft,Super Area,1110 sqft,Status,Ready to Move,Floor,Ground out of 5,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
4 BHK Apartment for Sale in JP Nagar Bangalore,₹6.50 Cr,Peninsula Heights,2+,₹13211 per sqft,Carpet Area,3145 sqft,Status,Ready to Move,Floor,6 out of 16,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,4
"Plot/Land for Sale in MS Ramaiah City Layout, JP Nagar",₹4 Cr,MS Ramaiah City Layout,7+,₹16667 per sqft,Plot Area,2400 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
4 BHK Apartment for Sale in JP Nagar Bangalore,₹9 Cr,Total Environment Learning To Fly,13+,₹17146 per sqft,Carpet Area,4800 sqft,Status,Ready to Move,Floor,10 out of 20,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
"2 BHK Apartment for Sale in Phase 8th JP Nagar, JP Nagar",₹80 Lac,,12+,₹6957 per sqft,Carpet Area,950 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
"2 BHK Apartment for Sale in Phase 7 JP Nagar, JP Nagar",₹57 Lac,Paradise Manor,5+,₹5729 per sqft,Super Area,995 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,,
"Plot/Land for Sale in Phase 9th JP Nagar, JP Nagar",₹65 Lac,,N/A,₹10833 per sqft,Plot Area,600 sqft,,,,,Transaction,New Property,,,overlooking,"Main Road, Garden/Park",,,,,,,,
"3 BHK Apartment for Sale in Silver Oak Layout, JP Nagar",₹1.70 Cr,SSVD Forest View,4+,₹11199 per sqft,Carpet Area,1451 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,2,Balcony,3
Plot/Land for Sale in JP Nagar Bangalore,₹1.44 Cr,,N/A,₹1333 per sqft,Plot Area,10800 sqft,,,floors allowed for construction,2,Transaction,Resale,,,,,,,,,,,,
