Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"3 BHK Apartment for Sale in Richmond Town, Richmond Town Bangalore",₹6 Cr,Richmond Town,15+,₹17002 per sqft,Carpet Area,3370 sqft,Status,Ready to Move,Floor,1 out of 8,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,1
"3 BHK Apartment for Sale in Abshot Layout, Palace Road Bangalore",₹8 Cr,,2+,₹25000 per sqft,Carpet Area,3000 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,"2 Covered,",Bathroom,3,Balcony,3
4 BHK Apartment for Sale in Richmond Road Bangalore,₹12 Cr,Century Renata,6+,₹24116 per sqft,Carpet Area,3900 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,2
"3 BHK Penthouse for Sale in Cambridge Layout, Jogupalya Bangalore",₹3.50 Cr,Salarpuria Cambridge Residency,10+,₹16667 per sqft,Carpet Area,1863 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,2
"2 BHK Apartment for Sale in Jayamahal Extension, Jayamahal Bangalore",₹2.05 Cr,ETA Benson Boulevard,6+,₹14643 per sqft,Super Area,1400 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Cox Town Bangalore,₹98 Lac,Aabriz Abode,4+,₹9159 per sqft,Carpet Area,1070 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,2,Balcony,1
Plot/Land for Sale in MS Ramaiah North City Bangalore,₹2.52 Cr,,10+,₹10500 per sqft,Super Area,2400 sqft,,,,,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
"Plot/Land for Sale in Cambridge Layout, Jogupalya Bangalore",Call for Price,,N/A,N/A,Plot Area,2556 sqft,,,floors allowed for construction,1,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
3 BHK Apartment for Sale in Cunningham Road Bangalore,₹3.25 Cr,Embassy Habitat,10+,₹18056 per sqft,Carpet Area,1790 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in KSRTC Colony Shanti Nagar Bangalore,₹2.74 Cr,Heriitage Signature,6+,₹13237 per sqft,Carpet Area,1656 sqft,Status,Ready to Move,Floor,3 out of 6,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
"4 BHK Apartment for Sale in Richmond Town, Richmond Town Bangalore",₹13 Cr,Century Renata,17+,₹18571 per sqft,Super Area,7000 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,New Property,Furnishing,Unfurnished,,,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Benson Town Bangalore,₹2.55 Cr,,1,₹12143 per sqft,Carpet Area,1700 sqft,Under Construction,Poss. by Jun '25,Floor,1 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,3
4 BHK Apartment for Sale in Millers Road Bangalore,₹5.31 Cr,Spectra Raywoods,16+,₹17325 per sqft,Carpet Area,2221 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
"3 BHK Apartment for Sale in Doddigunta, Cox Town Bangalore",₹1.80 Cr,Innovative Flora,7+,₹9730 per sqft,Carpet Area,1789 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Not Available",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,1
3 BHK Apartment for Sale in Cunningham Road Bangalore,₹6.20 Cr,Legacy Mycon Duv,6+,₹20736 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Power Of Attorney,Car Parking,2 Covered,Bathroom,4,Balcony,3
"3 BHK Apartment for Sale in Bandapura, Aavalahalli Bangalore",₹3.21 Cr,Brigade Exotica,32+,₹12159 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",,,Car Parking,2 Covered,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Shanti Nagar Bangalore,₹2.30 Cr,,11+,₹9980 per sqft,Carpet Area,1803 sqft,Status,Ready to Move,Floor,Upper Basement out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,1
3 BHK Apartment for Sale in Sivanchetti Gardens Bangalore,₹4.92 Cr,Vaishnavi Premiere,12+,₹18996 per sqft,Carpet Area,1600 sqft,Status,Ready to Move,Floor,6 out of 15,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
3 BHK Apartment for Sale in Jayaraj Nagar Halasuru Bangalore,₹2.25 Cr,Garden Homes,10+,₹13636 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",,,Car Parking,1 Covered,Bathroom,3,Balcony,4
