Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"3 BHK House for Sale in H Colony, Indira Nagar",₹2 Cr,,N/A,₹10000 per sqft,Super Area,2000 sqft,Status,Ready to Move,Floor,Ground out of 2,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,3,Balcony,1
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹2 Cr,Godrej Athena,5+,₹15408 per sqft,Carpet Area,908 sqft,Under Construction,Poss. by Jun '27,Floor,7 out of 19,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.20 Cr,Godrej Athena,5+,₹15862 per sqft,Carpet Area,970 sqft,Under Construction,Poss. by Jun '27,Floor,7 out of 19,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",,,Car Parking,"1 Covered,",Bathroom,3,Balcony,3
"3 BHK Builder Floor for Sale in Hoysala Nagar, Indira Nagar",₹3.94 Cr,,13+,₹14327 per sqft,Carpet Area,1963 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,New Property,Furnishing,Unfurnished,,,,,,,Bathroom,3,Balcony,3
"3 BHK Apartment for Sale in Defence Colony-Indira nagar, Indira Nagar",₹5 Cr,,20+,₹24462 per sqft,Super Area,2044 sqft,Status,Ready to Move,Floor,3 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,3,Balcony,1
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹1.40 Cr,,N/A,₹9272 per sqft,Carpet Area,1300 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,3,Balcony,3
"Plot/Land for Sale in Defence Colony-Indira nagar, Indira Nagar",Call for Price,Defence Colony,8+,N/A,Plot Area,7000 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,Main Road,Ownership,Freehold,,,,,,
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.25 Cr,,5+,₹13636 per sqft,Super Area,1650 sqft,Status,Ready to Move,Floor,4 out of 8,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,3,,
4 BHK Builder Floor for Sale in Indira Nagar Bangalore,₹11.50 Cr,Embassy Grove,20+,₹23469 per sqft,Super Area,4900 sqft,Status,Ready to Move,Floor,2 out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
"3 BHK Apartment for Sale in Indira nagar Stage 2, Indira Nagar",₹1 Cr,,13+,₹6803 per sqft,Super Area,1470 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,,,Bathroom,3,Balcony,3
