Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹80 Lac,Godrej Aqua,7+,₹5416 per sqft,Carpet Area,1100 sqft,Status,Ready to Move,Floor,15 out of 20,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.25 Cr,Godrej Aqua,12+,₹8480 per sqft,Carpet Area,997 sqft,Status,Ready to Move,Floor,5 out of 14,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.75 Cr,,N/A,₹9409 per sqft,Super Area,1860 sqft,Under Construction,Poss. by Jun '27,,,Transaction,New Property,Furnishing,Semi-Furnished,,,,,Car Parking,1 Covered,Bathroom,3,,
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.20 Cr,Puravankara Purva Zenium,1,₹10000 per sqft,Super Area,1200 sqft,Under Construction,Poss. by Dec '24,Floor,12 out of 20,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
4 BHK Apartment for Sale in New International Airport Road Bangalore,₹2 Cr,Puravankara Purva Zenium,1,₹9302 per sqft,Super Area,2150 sqft,Under Construction,Poss. by Dec '24,Floor,12 out of 20,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,4
2 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.48 Cr,,N/A,₹11255 per sqft,Super Area,1315 sqft,Under Construction,Poss. by Jun '27,,,Transaction,New Property,Furnishing,Semi-Furnished,,,,,Car Parking,1 Covered,Bathroom,2,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹80.8 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1648 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹80.9 Lac,Y V Warrior Central Bay,8+,₹4900 per sqft,Super Area,1651 sqft,Under Construction,Poss. by Oct '25,,,Transaction,New Property,Furnishing,Unfurnished,,,,,Car Parking,1 Covered,Bathroom,3,,
Plot/Land for Sale in New International Airport Road Bangalore,₹40 Lac,,1,₹727 per sqft,Plot Area,5500 sqft,,,,,Transaction,New Property,,,,,Ownership,Freehold,,,,,,
3 BHK Apartment for Sale in New International Airport Road Bangalore,₹1.65 Cr,Godrej Aqua,13+,₹9964 per sqft,Carpet Area,1300 sqft,Status,Ready to Move,Floor,9 out of 13,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
